,name,frequency
0,Ulysses,632
1,Telemachus,272
2,Jove,162
3,Minerva,151
4,Penelope,107
5,Eumaeus,77
6,Menelaus,66
7,Alcinous,64
8,Antinous,58
9,Neptune,58
10,Euryclea,44
11,Nestor,40
12,Circe,40
13,Agamemnon,36
14,Laertes,35
15,Calypso,31
16,Mercury,29
17,Aegisthus,29
18,Eurymachus,28
19,Helen,26
20,Pisistratus,26
21,Melanthius,26
22,Dawn,22
23,Vulcan,20
24,Apollo,19
25,Nausicaa,19
26,Teiresias,17
27,Achilles,17
28,Eurynome,17
29,Demodocus,16
30,Atreus,15
31,Mentor,15
32,Mars,15
33,Autolycus,14
34,Dolius,14
35,Irus,13
36,Diana,13
37,Eurylochus,13
38,Arete,13
39,Medon,12
40,Proserpine,11
41,Orestes,11
42,Philoetius,11
43,Theoclymenus,11
44,Polybus,11
45,Scylla,10
46,Amphinomus,10
47,Phemius,10
48,Megapenthes,10
49,Peleus,10
50,Icarius,10
51,Neleus,10
52,Aeolus,10
53,Laodamas,9
54,Ajax,9
55,Venus,9
56,Polyphemus,8
57,Hercules,8
58,Agelaus,8
59,Idomeneus,8
60,Hades,8
61,Eupeithes,7
62,Patroclus,7
63,Euryalus,6
64,Iphitus,6
65,Amphimedon,6
66,Antilochus,6
67,Halitherses,5
68,Arceisius,5
69,Hermione,5
70,Hyperion,5
71,Odysseus,5
72,Noman,5
73,Minos,5
74,Eteoneus,5
75,Pheidon,4
76,Butler,4
77,Antiphus,4
78,Clytemnestra,4
79,Antiphates,4
80,Nausithous,4
81,Leiodes,4
82,Ctesippus,4
83,Elpenor,4
84,Eurytus,4
85,Pontonous,4
86,Ino,4
87,Thrasymedes,4
88,Noemon,4
89,Polyctor,3
90,Pisander,3
91,Melantho,3
92,Saturn,3
93,Piraeus,3
94,Tyro,3
95,Diocles,3
96,Leto,3
97,Orion,3
98,Eurymedusa,3
99,Damastor,3
100,Diomed,3
101,Juno,3
102,Atlas,3
103,Eurybates,3
104,Echetus,3
105,Phorcys,3
106,Mentes,3
107,Pisenor,3
108,Nisus,3
109,Melampus,3
110,Proteus,3
111,Echeneus,3
112,Anchialus,3
113,Ortilochus,3
114,Epeus,2
115,Aretias,2
116,Cretheus,2
117,Hermes,2
118,Erebus,2
119,Zethus,2
120,Epicaste,2
121,Priam,2
122,Clytius,2
123,Deucalion,2
124,Peirithous,2
125,Stratius,2
126,Amphion,2
127,Neoptolemus,2
128,Phronius,2
129,Clytoneus,2
130,Ops,2
131,Ilus,2
132,Ctimene,2
133,Anticlus,2
134,Mesaulius,2
135,Aretus,2
136,Periboea,2
137,Eurynomus,2
138,Liddell,2
139,Lampetie,2
140,Poseidon,2
141,Echephron,2
142,Dulichium,2
143,Perimedes,2
144,Buttmann,2
145,Elatreus,2
146,Rhexenor,2
147,Phylo,2
148,Perseus,2
149,Philoctetes,2
150,Demoptolemus,2
151,Oicleus,2
152,Phaedimus,2
153,Castor,2
154,Robertson,2
155,Philomeleides,2
156,Pelias,2
157,Eurydamas,2
158,Aegyptius,2
159,Amphialus,2
160,Bacchus,2
161,Rhadamanthus,2
162,Alcmena,2
163,Polypheides,2
164,Theseus,2
165,Argos,2
166,Iasion,2
167,Amphitryon,2
168,Alpheus,2
169,Deiphobus,2
170,Amphiaraus,2
171,Thetis,2
172,Hector,2
173,Tityus,2
174,Iasus,2
175,Mantius,2
176,Cleitus,2
