,name,frequency
0,Pierre,1925
1,Natásha,1188
2,Rostóv,729
3,Kutúzov,513
4,Sónya,441
5,Denísov,417
6,Dólokhov,326
7,Borís,289
8,Pétya,267
9,Anatole,219
10,Hélène,165
11,Anna Pávlovna,149
12,Vasíli,146
13,Bagratión,141
14,Andrew,135
15,Alpátych,135
16,Anna Mikháylovna,126
17,Bourienne,124
18,Alexander,122
19,Rostopchín,116
20,Márya,113
21,Balashëv,111
22,Dmítrievna,104
23,Berg,94
24,Bonaparte,86
25,Tíkhon,82
26,Speránski,79
27,Bennigsen,73
28,Véra,71
29,Túshin,70
30,Bilíbin,68
31,Nesvítski,67
32,Kurágin,65
33,Karatáev,62
34,Bezúkhov,61
35,Dron,54
36,Murat,49
37,Pfuel,46
38,Zherkóv,40
39,Davout,39
40,Arakchéev,38
41,Dolgorúkov,38
42,Ilyín,37
43,Lavrúshka,36
44,Weyrother,36
45,Dessalles,35
46,Dunyásha,34
47,Barclay,33
48,Ilyá,31
49,Ermólov,31
50,Timókhin,30
51,Lise,29
52,Shinshín,29
53,Michael Ivánovich,29
54,Telyánin,29
55,Willarski,28
56,Gerásim,26
57,Mávra,26
58,Dokhtúrov,26
59,Platón,26
60,Hippolyte,25
61,Ilágin,25
62,Kuzmínichna,24
63,Toll,24
64,Vereshchágin,24
65,Mamma,23
66,De Beausset,23
67,Joseph Alexéevich,22
68,Buonaparte,22
69,Wolzogen,22
70,Michaud,21
71,Mary Hendríkhovna,21
72,Nicholas Rostóv,20
73,Milorádovich,20
74,Balagá,20
75,Ferapóntov,19
76,Suvórov,19
77,Raévski,19
78,Makár,18
79,Drubetskóy,18
80,Alexéevich,18
81,Konovnítsyn,18
82,Mack,18
83,Kozlóvski,17
84,Ramballe,17
85,Rostóva,17
86,Pelagéya,16
87,Bezúkhova,16
88,Nicholas Bolkónski,16
89,Fëdorovna,16
90,Morel,16
91,Dimmler,15
92,Váska,15
93,Karáy,15
94,Barclay de Tolly,14
95,Mítenka,14
96,Sergéy,14
97,Perónskaya,14
98,Francis,14
99,Anísya,14
100,Berthier,13
101,Bolkhovítinov,13
102,Kuzmích,13
103,Mílka,13
104,George,13
105,Bogdánich,13
106,Métivier,13
107,Armfeldt,12
108,Plátov,12
109,Buxhöwden,12
110,Orlóv,12
111,Dmítri,12
112,Kochubéy,12
113,Karp,12
114,Thiers,12
115,Lázarev,12
116,Papa,12
117,Christ,12
118,Paulucci,12
119,Nikólenka,12
120,Simon,12
121,Langeron,11
122,Magnítski,11
123,Iogel,11
124,Yákov,11
125,Ney,10
126,Alexander I,10
127,Drónushka,10
128,Mary Bogdánovna,10
129,Chichagóv,10
130,Vasílich,10
131,Belóva,10
132,Natalie,10
133,Rapp,10
134,Julie Karágina,9
135,Dmítrich,9
136,Danílovna,9
137,Lorrain,9
138,Annette,9
139,Wintzingerode,9
140,Catiche,9
141,Wostóv,9
142,Chernýshev,8
143,Iván,8
144,Uvárov,8
145,Volkónski,8
146,Drubetskáya,8
147,Matrëna,8
148,Zakhár,8
