,name,frequency
0,Elizabeth,605
1,Jane,289
2,Bingley,201
3,Darcy,191
4,Lydia,162
5,Wickham,140
6,Lizzy,92
7,Kitty,72
8,Charlotte,71
9,Collins,53
10,Mary,40
11,Hurst,29
12,Philips,25
13,George Allen,23
14,Forster,19
15,Maria,18
16,Catherine,16
17,Gardiner,16
18,Long,14
19,Caroline,14
20,Eliza,13
21,Catherine de Bourgh,10
22,Denny,9
23,Charlotte Lucas,9
24,Fitzwilliam,8
25,Austen,7
26,Hill,7
27,Jenkinson,7
28,Reynolds,7
29,Charles,7
30,George Wickham,6
31,Bennets,6
32,Louisa,6
33,Meryton,5
34,Swift,5
35,Elizabeth Bennet,5
36,Hunsford,4
37,Lydia Bennet,4
38,Pemberley,4
39,Fielding,4
40,Netherfield,4
41,Addison,4
42,De Bourgh,3
43,Lucases,3
44,Georgiana,3
45,Rosings,3
46,Carter,3
47,Jones,3
48,Annesley,3
49,Anne,3
50,Beatrix,2
51,LIZABETH,2
52,George Saintsbury,2
53,Eliza Bennet,2
54,Maria Lucas,2
55,Elizabet,2
56,Mary King,2
57,Crawford,2
58,Bingleys,2
59,Harriet,2
60,John,2
61,Pratt,2
62,Argemone,2
63,Haggerston,2
64,Fanny,2
65,Caroline Bingley,2
66,Dawson,2
67,Lizzie,2
68,Norris,2
69,Thackeray,2
