sid,sentence
1,The Project Gutenberg eBook of A Christmas Carol in Prose;
2,"Being a Ghost Story of Christmas This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever."
3,"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this ebook or online at"
4,www.gutenberg.org .
5,"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook."
7,Title :
8,A Christmas Carol in Prose;
9,Being a Ghost Story of Christmas
10,Author :
11,Charles Dickens
12,Illustrator :
13,John Leech
14,Release date :
15,"August 11, 2004 [eBook #46] Most recently updated:"
16,"November 13, 2021"
17,Language :
18,English *** START OF THE PROJECT GUTENBERG EBOOK A CHRISTMAS CAROL IN PROSE;
19,BEING A GHOST STORY OF CHRISTMAS ***
20,A CHRISTMAS CAROL
21,IN PROSE
22,BEING
23,A Ghost Story of Christmas
24,BY
25,CHARLES DICKENS
26,STAVE  ONE.
28,MARLEY’S GHOST.
30,Marley was dead:
31,to begin with.
32,"There is no         doubt whatever about that."
33,"The register of his burial was signed by the         clergyman, the clerk, the undertaker, and the chief mourner."
34,"Scrooge         signed it:"
35,"and Scrooge’s name was good upon ’Change, for         anything he chose to put his hand to."
36,"Old Marley was as dead as a         door-nail."
37,Mind!
38,"I don’t mean to say that I know, of my own knowledge, what         there is particularly dead about a door-nail."
39,"I might have been         inclined, myself, to regard a coffin-nail as the deadest piece of         ironmongery in the trade."
40,"But the wisdom of our ancestors is in the         simile;"
41,"and my unhallowed hands shall not disturb it, or the Country’s         done for."
42,"You will therefore permit me to repeat, emphatically, that         Marley was as dead as a door-nail."
43,Scrooge knew he was dead?
44,Of course he did.
45,"How could it be otherwise? "
46,"       Scrooge and he were partners for I don’t know how many years. "
47,"       Scrooge was his sole executor, his sole administrator, his sole assign,         his sole residuary legatee, his sole friend, and sole mourner."
48,"And even         Scrooge was not so dreadfully cut up by the sad event, but that he was         an excellent man of business on the very day of the funeral, and         solemnised it with an undoubted bargain."
49,"The mention of Marley’s funeral brings me back to the point I         started from."
50,There is no doubt that Marley was dead.
51,"This must be         distinctly understood, or nothing wonderful can come of the story I am         going to relate."
52,"If we were not perfectly convinced that Hamlet’s         Father died before the play began, there would be nothing more         remarkable in his taking a stroll at night, in an easterly wind, upon         his own ramparts, than there would be in any other middle-aged gentleman         rashly turning out after dark in a breezy spot—say Saint Paul’s         Churchyard for instance—literally to astonish his son’s weak         mind."
53,Scrooge never painted out Old Marley’s name.
54,"There it stood, years         afterwards, above the warehouse door:"
55,Scrooge and Marley.
56,"The firm was         known as Scrooge and Marley."
57,"Sometimes people new to the business called         Scrooge Scrooge, and sometimes Marley, but he answered to both names."
58,"It         was all the same to him."
59,Oh!
60,"But he was a tight-fisted hand at the grindstone, Scrooge!"
61,"a         squeezing, wrenching, grasping, scraping, clutching, covetous, old         sinner!"
62,"Hard and sharp as flint, from which no steel had ever struck out         generous fire;"
63,"secret, and self-contained, and solitary as an oyster. "
64,"       The cold within him froze his old features, nipped his pointed nose,         shrivelled his cheek, stiffened his gait;"
65,"made his eyes red, his thin         lips blue;"
66,and spoke out shrewdly in his grating voice.
67,"A frosty rime         was on his head, and on his eyebrows, and his wiry chin."
68,"He carried his         own low temperature always about with him;"
69,"he iced his office in the         dog-days;"
70,and didn’t thaw it one degree at Christmas.
71,External heat and cold had little influence on Scrooge.
72,"No warmth could         warm, no wintry weather chill him."
73,"No wind that blew was bitterer than         he, no falling snow was more intent upon its purpose, no pelting rain         less open to entreaty."
74,"Foul weather didn’t know where to have him. "
75,"       The heaviest rain, and snow, and hail, and sleet, could boast of the         advantage over him in only one respect."
76,"They often “came down”         handsomely, and Scrooge never did."
77,"Nobody ever stopped him in the street to say, with gladsome looks,         “My dear Scrooge, how are you?"
78,"When will you come to see me?” "
79,"       No beggars implored him to bestow a trifle, no children asked him what         it was o’clock, no man or woman ever once in all his life inquired         the way to such and such a place, of Scrooge."
80,"Even the blind men’s         dogs appeared to know him;"
81,"and when they saw him coming on, would tug         their owners into doorways and up courts;"
82,"and then would wag their tails         as though they said, “No eye at all is better than an evil eye,         dark master!”"
83,But what did Scrooge care!
84,It was the very thing he liked.
85,"To edge his         way along the crowded paths of life, warning all human sympathy to keep         its distance, was what the knowing ones call “nuts” to         Scrooge."
86,"Once upon a time—of all the good days in the year, on Christmas         Eve—old Scrooge sat busy in his counting-house."
87,"It was cold,         bleak, biting weather:"
88,foggy withal:
89,"and he could hear the people in the         court outside, go wheezing up and down, beating their hands upon their         breasts, and stamping their feet upon the pavement stones to warm them. "
90,"       The city clocks had only just gone three, but it was quite dark already—it         had not been light all day—and candles were flaring in the windows         of the neighbouring offices, like ruddy smears upon the palpable brown         air."
91,"The fog came pouring in at every chink and keyhole, and was so         dense without, that although the court was of the narrowest, the houses         opposite were mere phantoms."
