sid,sentence
2,Animal Farm by George Orwell First published in 1945 This ebook edition was created and published by Global Grey on the 28th September 2021 The artwork for the cover is Farm idyll with pigs and chickens painted by Carl Bøgh.
3,You can download this book on the site:
5,globalgreyebooks.com/animal-farm-ebook.html ©GlobalGrey 2021
6,globalgreyebooks.com
7,Contents
8,Chapter One Chapter Two Chapter Three Chapter Four Chapter Five Chapter Six Chapter Seven Chapter Eight Chapter Nine Chapter Ten
9,Chapter One
10,"Mr. Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the popholes."
11,"With the ring of light from his lantern dancing from side to side, he lurched across the yard, kicked off his boots at the back door, drew himself a last glass of beer from the barrel in the scullery, and made his way up to bed, where Mrs."
12,Jones was already snoring.
13,As soon as the light in the bedroom went out there was a stirring and a fluttering all through the farm buildings.
14,"Word had gone round during the day that old Major, the prize Middle White boar, had had a strange dream on the previous night and wished to communicate it to the other animals."
15,It had been agreed that they should all meet in the big barn as soon as Mr.
16,Jones was safely out of the way.
17,"Old Major (so he was always called, though the name under which he had been exhibited was Willingdon Beauty) was so highly regarded on the farm that everyone was quite ready to lose an hour's sleep in order to hear what he had to say."
18,"At one end of the big barn, on a sort of raised platform, Major was already ensconced on his bed of straw, under a lantern which hung from a beam."
19,"He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut."
20,Before long the other animals began to arrive and make themselves comfortable after their different fashions.
21,"First came the three dogs, Bluebell, Jessie, and Pincher, and then the pigs, who settled down in the straw immediately in front of the platform."
22,"The hens perched themselves on the window-sills, the pigeons fluttered up to the rafters, the sheep and cows lay down behind the pigs and began to chew the cud."
23,"The two cart-horses, Boxer and Clover, came in together, walking very slowly and setting down their vast hairy hoofs with great care lest there should be some small animal concealed in the straw."
24,"Clover was a stout motherly mare approaching middle life, who had never quite got her figure back after her fourth foal."
25,"Boxer was an enormous beast, nearly eighteen hands high, and as strong as any two ordinary horses put together."
26,"A white stripe down his nose gave him a somewhat stupid appearance, and in fact he was not of first-rate intelligence, but he was universally respected for his steadiness of character and tremendous powers of work."
27,"After the horses came Muriel, the white goat, and Benjamin, the donkey."
28,"Benjamin was the oldest animal on the farm, and the worst tempered."
29,"He seldom talked, and when he did, it was usually to make some cynical remark—for instance, he would say that God had given him a tail to keep the flies off, but that he would sooner have had no tail and no flies."
30,Alone among the animals on the farm he never laughed.
31,"If asked why, he would say that he saw nothing to laugh at."
32,"Nevertheless, without openly admitting it, he was devoted to Boxer;"
33,"the two of them usually spent their Sundays together in the small paddock beyond the orchard, grazing side by side and never speaking."
34,"The two horses had just lain down when a brood of ducklings, which had lost their mother, filed into the barn, cheeping feebly and wandering from side to side to find some place where they would not be trodden on."
35,"Clover made a sort of wall round them with her great foreleg, and the ducklings nestled down inside it and promptly fell asleep."
36,"At the last moment Mollie, the foolish, pretty white mare who drew Mr."
37,"Jones's trap, came mincing daintily in, chewing at a lump of sugar."
38,"She took a place near the front and began flirting her white mane, hoping to draw attention to the red ribbons it was plaited with."
39,"Last of all came the cat, who looked round, as usual, for the warmest place, and finally squeezed herself in between Boxer and Clover;"
40,there she purred contentedly throughout Major's speech without listening to a word of what he was saying.
41,"All the animals were now present except Moses, the tame raven, who slept on a perch behind the back door."
42,"When Major saw that they had all made themselves comfortable and were waiting attentively, he cleared his throat and began:"
43,"""Comrades, you have heard already about the strange dream that I had last night."
44,But I will come to the dream later.
45,I have something else to say first.
46,"I do not think, comrades, that I shall be with you for many months longer, and before I die, I feel it my duty to pass on to you such wisdom as I have acquired."
47,"I have had a long life, I have had much time for thought as I lay alone in my stall, and I think I may say that I understand the nature of life on this earth as well as any animal now living."
48,It is about this that I wish to speak to you.
49,"""Now, comrades, what is the nature of this life of ours?"
50,Let us face it:
51,"our lives are miserable, laborious, and short."
52,"We are born, we are given just so much food as will keep the breath in our bodies, and those of us who are capable of it are forced to work to the last atom of our strength;"
53,and the very instant that our usefulness has come to an end we are slaughtered with hideous cruelty.
54,No animal in England knows the meaning of happiness or leisure after he is a year old.
55,No animal in England is free.
56,The life of an animal is misery and slavery:
57,that is the plain truth.
58,"""But is this simply part of the order of nature?"
59,Is it because this land of ours is so poor that it cannot afford a decent life to those who dwell upon it?
60,"No, comrades, a thousand times no!"
61,"The soil of England is fertile, its climate is good, it is capable of affording food in abundance to an enormously greater number of animals than now inhabit it."
62,"This single farm of ours would support a dozen horses, twenty cows, hundreds of sheep—and all of them living in a comfort and a dignity that are now almost beyond our imagining."
63,Why then do we continue in this miserable condition?
64,Because nearly the whole of the produce of our labour is stolen from us by human beings.
65,"There, comrades, is the answer to all our problems."
66,It is summed up in a single word—Man.
67,Man is the only real enemy we have.
68,"Remove Man from the scene, and the root cause of hunger and overwork is abolished for ever."
69,"""Man is the only creature that consumes without producing."
70,"He does not give milk, he does not lay eggs, he is too weak to pull the plough, he cannot run fast enough to catch rabbits."
71,Yet he is lord of all the animals.
72,"He sets them to work, he gives back to them the bare minimum that will prevent them from starving, and the rest he keeps for himself."
73,"Our labour tills the soil, our dung fertilises it, and yet there is not one of us that owns more than his bare skin."
74,"You cows that I see before me, how many thousands of gallons of milk have you given during this last year?"
75,And what has happened to that milk which should have been breeding up sturdy calves?
76,Every drop of it has gone down the throats of our enemies.
77,"And you hens, how many eggs have you laid in this last year, and how many of those eggs ever hatched into chickens?"
78,The rest have all gone to market to bring in money for Jones and his men.
79,"And you, Clover, where are those four foals you bore, who should have been the support and pleasure of your old age?"
80,Each was sold at a year old—you will never see one of them again.
81,"In return for your four confinements and all your labour in the fields, what have you ever had except your bare rations and a stall?"
82,"""And even the miserable lives we lead are not allowed to reach their natural span."
83,"For myself I do not grumble, for I am one of the lucky ones."
84,I am twelve years old and have had over four hundred children.
85,Such is the natural life of a pig.
86,But no animal escapes the cruel knife in the end.
87,"You young porkers who are sitting in front of me, every one of you will scream your lives out at the block within a year."
88,"To that horror we all must come—cows, pigs, hens, sheep, everyone."
89,Even the horses and the dogs have no better fate.
90,"You, Boxer, the very day that those great muscles of yours lose their power, Jones will sell you to the knacker, who will cut your throat and boil you down for the foxhounds."
91,"As for the dogs, when they grow old and toothless, Jones ties a brick round their necks and drowns them in the nearest pond."
92,"""Is it not crystal clear, then, comrades, that all the evils of this life of ours spring from the tyranny of human beings?"
93,"Only get rid of Man, and the produce of our labour would be our own."
94,Almost overnight we could become rich and free.
95,What then must we do?
96,"Why, work night and day, body and soul, for the overthrow of the human race!"
97,"That is my message to you, comrades:"
98,Rebellion!
99,"I do not know when that Rebellion will come, it might be in a week or in a hundred years, but I know, as surely as I see this straw beneath my feet, that sooner or later justice will be done."
100,"Fix your eyes on that, comrades, throughout the short remainder of your lives!"
101,"And above all, pass on this message of mine to those who come after you, so that future generations shall carry on the struggle until it is victorious."
102,"""And remember, comrades, your resolution must never falter."
103,No argument must lead you astray.
104,"Never listen when they tell you that Man and the animals have a common interest, that the prosperity of the one is the prosperity of the others."
105,It is all lies.
106,Man serves the interests of no creature except himself.
107,"And among us animals let there be perfect unity, perfect comradeship in the struggle."
108,All men are enemies.
109,"All animals are comrades."""
110,At this moment there was a tremendous uproar.
111,"While Major was speaking four large rats had crept out of their holes and were sitting on their hindquarters, listening to him."
112,"The dogs had suddenly caught sight of them, and it was only by a swift dash for their holes that the rats saved their lives."
113,Major raised his trotter for silence.
114,"""Comrades,"" he said, ""here is a point that must be settled."
115,"The wild creatures, such as rats and rabbits—are they our friends or our enemies?"
116,Let us put it to the vote.
117,I propose this question to the meeting:
118,"Are rats comrades?"""
119,"The vote was taken at once, and it was agreed by an overwhelming majority that rats were comrades."
120,"There were only four dissentients, the three dogs and the cat, who was afterwards discovered to have voted on both sides."
121,Major continued:
122,"""I have little more to say."
123,"I merely repeat, remember always your duty of enmity towards Man and all his ways."
124,Whatever goes upon two legs is an enemy.
125,"Whatever goes upon four legs, or has wings, is a friend."
126,"And remember also that in fighting against Man, we must not come to resemble him."
127,"Even when you have conquered him, do not adopt his vices."
128,"No animal must ever live in a house, or sleep in a bed, or wear clothes, or drink alcohol, or smoke tobacco, or touch money, or engage in trade."
129,All the habits of Man are evil.
130,"And, above all, no animal must ever tyrannise over his own kind."
131,"Weak or strong, clever or simple, we are all brothers."
132,No animal must ever kill any other animal.
133,All animals are equal.
134,"""And now, comrades, I will tell you about my dream of last night."
135,I cannot describe that dream to you.
136,It was a dream of the earth as it will be when Man has vanished.
137,But it reminded me of something that I had long forgotten.
138,"Many years ago, when I was a little pig, my mother and the other sows used to sing an old song of which they knew only the tune and the first three words."
139,"I had known that tune in my infancy, but it had long since passed out of my mind."
140,"Last night, however, it came back to me in my dream."
141,"And what is more, the words of the song also came back—words, I am certain, which were sung by the animals of long ago and have been lost to memory for generations."
