sid,sentence
1,The Project Gutenberg eBook of Pride and Prejudice This ebook is for the use of anyone anywhere in the United States and most other parts of the world at no cost and with almost no restrictions whatsoever.
2,"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this ebook or online at"
3,www.gutenberg.org .
4,"If you are not located in the United States, you will have to check the laws of the country where you are located before using this eBook."
6,Title :
7,Pride and Prejudice
8,Author :
9,Jane Austen
10,Release date :
11,"June 1, 1998 [eBook #1342] Most recently updated:"
12,"April 14, 2023"
13,Language :
14,English
15,Credits :
16,Chuck Greif and the Online Distributed Proofreading Team at http://www.pgdp.net
17,(This file was produced from images available at The Internet Archive) *** START OF THE PROJECT GUTENBERG EBOOK PRIDE AND PREJUDICE ***
18,PREFACE. List of Illustrations.
19,Chapter:
20,"I.,"
21,"II.,"
22,"III.,"
23,"IV.,"
24,"V.,"
25,"VI.,"
26,"VII.,"
27,"VIII.,"
28,"IX.,"
29,"X.,"
30,"XI.,"
31,"XII.,"
32,"XIII.,"
33,"XIV.,"
34,"XV.,"
35,"XVI.,"
36,"XVII.,"
37,"XVIII.,"
38,"XIX.,"
39,"XX.,"
40,"XXI.,"
41,"XXII.,"
42,"XXIII.,"
43,"XXIV.,"
44,"XXV.,"
45,"XXVI.,"
46,"XXVII.,"
47,"XXVIII.,"
48,"XXIX.,"
49,"XXX.,"
50,"XXXI.,"
51,"XXXII.,"
52,"XXXIII.,"
53,"XXXIV.,"
54,"XXXV.,"
55,"XXXVI.,"
56,"XXXVII.,"
57,"XXXVIII.,"
58,"XXXIX.,"
59,"XL.,"
60,"XLI.,"
61,"XLII.,"
62,"XLIII.,"
63,"XLIV.,"
64,"XLV.,"
65,"XLVI.,"
66,"XLVII.,"
67,"XLVIII.,"
68,"XLIX.,"
69,"L.,"
70,"LI.,"
71,"LII.,"
72,"LIII.,"
73,"LIV.,"
74,"LV.,"
75,"LVI.,"
76,"LVII.,"
77,"LVIII.,"
78,"LIX.,"
79,"LX.,"
80,LXI.
82,PRIDE. and PREJUDICE
83,"by Jane Austen,"
84,with a Preface by George Saintsbury
85,and Illustrations by Hugh Thomson
86,Ruskin House.
87,156.
88,Charing Cross Road.
89,London George Allen.
91,CHISWICK PRESS:—CHARLES
92,WHITTINGHAM AND CO.
93,"TOOKS COURT, CHANCERY LANE, LONDON."
94,Walt Whitman has somewhere a fine and just distinction between “loving by allowance” and “loving with personal love.”
95,This distinction applies to books as well as to men and women;
96,"and in the case of the not very numerous authors who are the objects of the personal affection, it brings a curious consequence with it."
97,"There is much more difference as to their best work than in the case of those others who are loved “by allowance” by convention, and because it is felt to be the right and proper thing to love them."
98,"And in the sect—fairly large and yet unusually choice—of Austenians or Janites, there would probably be found partisans of the claim to primacy of almost every one of the novels."
